"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R706,R707,R703,R704,R708,R705,R702";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"110k";;;
2;"Q307,Q303,Q306,Q305";"SOT-23";4;"BC856C";;;
3;"R204,R203";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1.1k";;;
4;"D704,D701,D705,D703,D702";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"LED";;;
5;"R302,R604,R301,R601,R207,R208";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"20k";;;
6;"C302,C304,C303,C310,C301,C308,C309,C307,C306";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";9;"100n";;;
7;"D706";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RxLED";;;
8;"U401";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
9;"U301,U203,U202,U305,U302";"SO-8_3.9x4.9mm_P1.27mm";5;"AS358";;;
10;"R202";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"300k";;;
11;"Q706,Q705,Q704,Q301,Q702,Q309,Q302,Q703,Q707,Q701,Q304";"SOT-23";11;"BC846C";;;
12;"R401,R701";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
13;"U201";"SOT-23-6";1;"MCP1501-33xCH";;;
14;"C401";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"120nF";;;
15;"J302";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
16;"R501";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
17;"R606,R603,R201";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"2.7k";;;
18;"C201,C305,C202";"CP_Radial_D5.0mm_P2.00mm";3;"22u";;;
19;"J304";"AMASS_XT60-F_1x02_P7.20mm_Vertical";1;"XT60";;;
20;"J303,J306,J301,J305";"PinHeader_1x03_P2.54mm_Vertical";4;"Conn_01x03_Pin";;;
21;"D707";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"TxLED";;;
22;"D201";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
23;"BZ501";"Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm";1;"Buzzer";;;
24;"R502";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"180";;;
25;"R605,R602";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"82k";;;
26;"U403";"LGA-28_5.2x3.8mm_P0.5mm";1;"BNO055";;;
27;"U402";"Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering";1;"DPS368";;;
28;"U701";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"MCP2200-I-SO";;;
29;"Q201";"TO-220-3_Horizontal_TabDown";1;"BUJ303B,127";;;
30;"R206";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2k";;;
31;"Q501";"TO-92_HandSolder";1;"2N2222A";;;
32;"Y701";"Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm";1;"CSTNE12M0GH5L000R0";;;
33;"C402";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
34;"R205";"R_Axial_Power_L48.0mm_W12.5mm_P60.96mm";1;"16";;;
